file,start_time,sport,distance_km,duration_min,ascent_m,descent_m,gps_present,is_marathon_like
fits/2014-02-26_13-34-49_f577800ca8.fit,2014-02-26 13:34:49,running,12.61517,62.13123333333333,36.0,42.0,True,False
fits/2014-02-27_20-02-39_8390d6510c.fit,2014-02-27 20:02:39,running,6.00189,32.11708333333333,22.0,36.0,True,False
fits/2014-03-01_09-34-37_e3918810cd.fit,2014-03-01 09:34:37,running,17.53701,92.37001666666667,76.0,73.0,True,False
fits/2014-03-04_13-27-18_81cfbfa2fe.fit,2014-03-04 13:27:18,running,13.65996,66.1734,81.0,95.0,True,False
fits/2014-03-07_08-56-09_3ce4a5c9dd.fit,2014-03-07 08:56:09,running,8.10828,43.30288333333333,64.0,67.0,True,False
fits/2014-03-09_09-00-09_5aacdf87f9.fit,2014-03-09 09:00:09,running,25.99645,141.15788333333333,160.0,163.0,True,False
fits/2014-03-12_13-24-44_ec79cace26.fit,2014-03-12 13:24:44,running,12.00457,57.635,46.0,23.0,True,False
fits/2014-03-13_14-38-17_c5e2e1b431.fit,2014-03-13 14:38:17,running,7.50171,40.32586666666667,38.0,34.0,True,False
fits/2014-03-16_12-29-41_304cb309e2.fit,2014-03-16 12:29:41,running,21.14016,113.77375,181.0,179.0,True,False
fits/2014-03-25_11-43-32_9ac4513485.fit,2014-03-25 11:43:32,running,8.00114,39.917833333333334,40.0,50.0,True,False
fits/2014-03-29_12-09-50_bfc2b25ef3.fit,2014-03-29 12:09:50,running,21.27793,101.00633333333333,99.0,92.0,True,False
fits/2014-04-05_14-57-13_841db8d4fe.fit,2014-04-05 14:57:13,running,26.01586,146.50588333333332,89.0,92.0,True,False
fits/2014-04-08_13-29-02_7ab03efd96.fit,2014-04-08 13:29:02,running,15.00567,76.56403333333333,95.0,80.0,True,False
fits/2014-04-09_16-54-17_13d17ad243.fit,2014-04-09 16:54:17,running,5.63506,28.789566666666666,45.0,39.0,True,False
fits/2014-04-13_09-22-19_2c457336d5.fit,2014-04-13 09:22:19,running,31.08949,165.81003333333334,293.0,279.0,True,False
fits/2014-04-19_07-35-39_ee1be6b745.fit,2014-04-19 07:35:39,running,23.00451,119.58666666666666,115.0,123.0,True,False
fits/2014-04-22_12-36-48_6a06b47225.fit,2014-04-22 12:36:48,running,16.16362,83.65458333333332,72.0,80.0,True,False
fits/2014-04-24_17-59-56_c7fa9f82e2.fit,2014-04-24 17:59:56,running,8.543610000000001,46.7156,87.0,85.0,True,False
fits/2014-04-27_13-21-07_7d9a6b6d90.fit,2014-04-27 13:21:07,running,36.00258,196.10196666666667,128.0,112.0,True,False
fits/2014-04-29_18-55-51_4e02a55a49.fit,2014-04-29 18:55:51,running,6.00073,30.547483333333332,27.0,28.0,True,False
fits/2014-04-30_10-42-31_3a8f3c209a.fit,2014-04-30 10:42:31,running,11.60678,59.06666666666667,81.0,87.0,True,False
fits/2014-05-04_07-00-37_f3cc9fa408.fit,2014-05-04 07:00:37,running,11.84216,65.78421666666667,327.0,334.0,True,False
fits/2014-05-09_07-42-29_6fd08ac56c.fit,2014-05-09 07:42:29,running,6.500229999999999,33.87331666666667,58.0,36.0,True,False
fits/2014-05-10_09-35-22_bcfe7c7086.fit,2014-05-10 09:35:22,running,31.309240000000003,171.8339,268.0,247.0,True,False
fits/2014-05-17_06-36-38_7e928a458a.fit,2014-05-17 06:36:38,running,26.203419999999998,136.33326666666667,310.0,251.0,True,False
fits/2014-05-23_16-24-13_42d0dc5031.fit,2014-05-23 16:24:13,running,8.99949,48.81961666666667,130.0,141.0,True,False
fits/2014-05-25_16-50-20_7fc0d64128.fit,2014-05-25 16:50:20,running,7.65289,38.96628333333333,51.0,52.0,True,False
fits/2014-05-27_13-48-48_75cf08d3c6.fit,2014-05-27 13:48:48,running,8.29539,43.911433333333335,125.0,123.0,True,False
fits/2014-05-31_10-02-27_32d821b824.fit,2014-05-31 10:02:27,running,42.52453,228.92006666666666,193.0,207.0,True,True
fits/2014-08-14_12-34-14_7b32a0290c.fit,2014-08-14 12:34:14,running,5.00643,22.658633333333334,124.0,130.0,True,False
fits/2014-08-16_19-20-57_985829c2ad.fit,2014-08-16 19:20:57,running,10.032459999999999,46.204433333333334,476.0,541.0,True,False
fits/2014-08-19_12-14-37_4a79b5bd3a.fit,2014-08-19 12:14:37,running,8.10551,40.955749999999995,245.0,240.0,True,False
fits/2014-08-21_08-04-15_ec4ba2c91d.fit,2014-08-21 08:04:15,running,12.2696,59.45666666666667,393.0,455.0,True,False
fits/2014-08-23_08-02-35_46459e525a.fit,2014-08-23 08:02:35,running,4.72846,20.675366666666665,181.0,213.0,True,False
fits/2014-08-25_16-06-57_1404b53ab2.fit,2014-08-25 16:06:57,running,17.74625,89.99548333333334,507.0,524.0,True,False
fits/2014-08-29_14-18-37_2e4223d7c6.fit,2014-08-29 14:18:37,running,4.08956,21.541566666666665,74.0,71.0,True,False
fits/2014-08-30_07-43-24_6812b10469.fit,2014-08-30 07:43:24,running,3.06354,13.759216666666667,121.0,138.0,True,False
fits/2014-08-31_06-56-41_8ec4b3b76a.fit,2014-08-31 06:56:41,running,5.71965,30.42135,167.0,127.0,True,False
fits/2014-09-01_06-33-03_1f92dc8e69.fit,2014-09-01 06:33:03,running,3.08151,13.889233333333333,55.0,132.0,True,False
fits/2014-09-02_06-33-54_d7471a21bf.fit,2014-09-02 06:33:54,running,5.347659999999999,27.58578333333333,78.0,121.0,True,False
fits/2014-09-03_06-50-34_09216f196f.fit,2014-09-03 06:50:34,running,3.73324,19.3511,79.0,105.0,True,False
fits/2014-09-04_06-32-08_9aa8bdafb5.fit,2014-09-04 06:32:08,running,6.00116,31.8408,124.0,160.0,True,False
fits/2014-09-07_06-37-34_cffd371175.fit,2014-09-07 06:37:34,running,18.00072,90.27696666666667,671.0,733.0,True,False
fits/2014-09-08_14-10-49_103e8b1b2b.fit,2014-09-08 14:10:49,running,8.79954,50.21445000000001,331.0,353.0,True,False
fits/2014-09-11_12-08-25_a824df4e5a.fit,2014-09-11 12:08:25,running,5.20834,28.143533333333334,201.0,184.0,True,False
fits/2014-09-11_13-05-24_21ed3cb8c4.fit,2014-09-11 13:05:24,running,1.60534,7.103750000000001,15.0,21.0,True,False
fits/2014-09-11_13-21-31_c99700eb17.fit,2014-09-11 13:21:31,running,0.79038,4.1685,44.0,20.0,True,False
fits/2014-09-11_13-40-15_5062f55461.fit,2014-09-11 13:40:15,running,4.701,24.965433333333333,135.0,171.0,True,False
fits/2014-09-13_14-17-31_82c280d5f7.fit,2014-09-13 14:17:31,running,19.895599999999998,107.2565,414.0,440.0,True,False
fits/2014-09-15_06-37-52_62182373b9.fit,2014-09-15 06:37:52,running,10.00151,56.151500000000006,362.0,345.0,True,False
fits/2014-09-17_10-06-27_9de0189282.fit,2014-09-17 10:06:27,running,11.0029,53.31091666666667,307.0,272.0,True,False
fits/2014-09-18_07-42-00_c1f5a16c05.fit,2014-09-18 07:42:00,running,5.260020000000001,68.0,,,False,False
fits/2014-09-21_09-06-32_e1f127a182.fit,2014-09-21 09:06:32,running,12.00834,56.743716666666664,374.0,377.0,True,False
fits/2014-09-24_06-50-28_4b6fef2dbb.fit,2014-09-24 06:50:28,running,13.25096,76.3099,455.0,449.0,True,False
fits/2014-09-28_12-04-26_15e185182b.fit,2014-09-28 12:04:26,running,21.18453,104.41825,305.0,295.0,True,False
fits/2014-10-04_11-50-29_5fbf7fe9ee.fit,2014-10-04 11:50:29,running,12.00162,59.762816666666666,432.0,394.0,True,False
fits/2014-10-06_06-57-01_51274f181a.fit,2014-10-06 06:57:01,running,9.07445,48.35595,804.0,907.0,True,False
fits/2014-10-08_09-57-09_1e38aed055.fit,2014-10-08 09:57:09,running,16.20963,80.20203333333333,351.0,389.0,True,False
fits/2014-10-10_07-31-49_6193ccb9f4.fit,2014-10-10 07:31:49,running,9.70261,56.394733333333335,283.0,537.0,True,False
fits/2014-10-12_13-05-07_78bc3be536.fit,2014-10-12 13:05:07,running,19.51858,101.92561666666667,423.0,469.0,True,False
fits/2014-10-14_12-41-00_b39825968a.fit,2014-10-14 12:41:00,running,4.36729,54.0,,,False,False
fits/2014-10-16_06-54-05_69eb2c39b6.fit,2014-10-16 06:54:05,running,8.10521,47.79113333333333,325.0,293.0,True,False
fits/2014-10-19_08-19-36_42fa7ed87b.fit,2014-10-19 08:19:36,running,19.229770000000002,99.37871666666666,650.0,552.0,True,False
fits/2014-10-21_16-17-16_e20665cd1f.fit,2014-10-21 16:17:16,running,8.41552,40.67366666666667,181.0,172.0,True,False
fits/2014-10-25_07-46-25_0765e0c8e9.fit,2014-10-25 07:46:25,running,2.00313,10.7599,84.0,78.0,True,False
fits/2014-10-25_08-03-05_cfe992e4a6.fit,2014-10-25 08:03:05,running,4.76251,20.072683333333334,89.0,119.0,True,False
fits/2014-10-26_11-37-28_bd6d36bba3.fit,2014-10-26 11:37:28,running,16.18914,86.60361666666667,436.0,414.0,True,False
fits/2014-10-31_08-17-25_0273a51e55.fit,2014-10-31 08:17:25,running,10.00968,52.42433333333334,290.0,345.0,True,False
fits/2014-11-02_08-46-22_796ca82f97.fit,2014-11-02 08:46:22,running,16.22599,83.07618333333333,495.0,535.0,True,False
fits/2014-11-03_13-12-08_09c84c5841.fit,2014-11-03 13:12:08,running,11.75103,63.18261666666667,340.0,381.0,True,False
fits/2014-11-05_16-25-32_4d2bdc0a62.fit,2014-11-05 16:25:32,running,13.182139999999999,62.03638333333333,335.0,348.0,True,False
fits/2014-11-07_11-05-09_872e4c295b.fit,2014-11-07 11:05:09,running,14.23848,70.36623333333334,386.0,400.0,True,False
fits/2014-11-09_10-13-33_b3e7930ac6.fit,2014-11-09 10:13:33,running,13.753530000000001,68.91476666666668,267.0,271.0,True,False
fits/2014-11-11_10-26-59_3f12e096cf.fit,2014-11-11 10:26:59,running,13.18239,71.4105,433.0,501.0,True,False
fits/2014-11-13_09-25-15_66f0157ea0.fit,2014-11-13 09:25:15,running,7.6738100000000005,36.052083333333336,238.0,221.0,True,False
fits/2014-11-16_17-22-48_2c2709c0e3.fit,2014-11-16 17:22:48,running,12.00124,67.69913333333334,469.0,372.0,True,False
fits/2014-11-18_13-38-05_e48ceb7c1c.fit,2014-11-18 13:38:05,running,15.11194,72.24478333333333,372.0,335.0,True,False
fits/2014-11-21_08-45-29_0495368e3b.fit,2014-11-21 08:45:29,running,8.714409999999999,43.02195,234.0,207.0,True,False
fits/2014-11-23_09-06-21_9b7741ee02.fit,2014-11-23 09:06:21,running,17.6949,80.71496666666667,413.0,456.0,True,False
fits/2014-11-26_13-37-01_c07ef2af3c.fit,2014-11-26 13:37:01,running,5.04528,24.94025,485.0,584.0,True,False
fits/2014-11-26_14-54-11_bcdf2f2216.fit,2014-11-26 14:54:11,running,6.09958,32.23688333333333,198.0,228.0,True,False
fits/2014-11-27_14-04-15_802a776e81.fit,2014-11-27 14:04:15,running,7.6352,40.7653,202.0,258.0,True,False
fits/2014-12-01_11-16-27_53022ee3cd.fit,2014-12-01 11:16:27,running,16.21117,73.61648333333332,339.0,355.0,True,False
fits/2014-12-02_17-01-55_b027911f07.fit,2014-12-02 17:01:55,running,5.82576,27.275750000000002,187.0,239.0,True,False
fits/2014-12-05_10-54-14_96737461f2.fit,2014-12-05 10:54:14,running,11.146090000000001,55.75668333333333,305.0,325.0,True,False
fits/2014-12-07_09-44-32_c53e08de49.fit,2014-12-07 09:44:32,running,20.005770000000002,98.88619999999999,382.0,403.0,True,False
fits/2014-12-09_10-52-18_9e3313dfed.fit,2014-12-09 10:52:18,running,15.303180000000001,72.46583333333334,319.0,327.0,True,False
fits/2014-12-10_09-43-41_ef8b9b1c5f.fit,2014-12-10 09:43:41,running,8.35359,44.17125,183.0,197.0,True,False
fits/2014-12-12_08-54-23_1f5e4ea6d9.fit,2014-12-12 08:54:23,running,13.99901,61.4429,223.0,290.0,True,False
fits/2014-12-14_10-27-16_f3332f5143.fit,2014-12-14 10:27:16,running,18.24922,104.0432,556.0,576.0,True,False
fits/2014-12-16_09-15-39_297bb2e2d3.fit,2014-12-16 09:15:39,running,9.21408,42.05813333333333,189.0,189.0,True,False
fits/2014-12-17_11-01-53_82f86f6eff.fit,2014-12-17 11:01:53,running,14.49972,71.2582,277.0,314.0,True,False
fits/2014-12-20_08-42-13_29c265f035.fit,2014-12-20 08:42:13,running,2.3621399999999997,12.055816666666667,88.0,104.0,True,False
fits/2014-12-20_09-02-23_8c1c75f72f.fit,2014-12-20 09:02:23,running,4.78242,19.49165,112.0,143.0,True,False
fits/2014-12-21_10-14-47_4c35c55880.fit,2014-12-21 10:14:47,running,17.00342,84.43366666666667,505.0,518.0,True,False
fits/2014-12-23_10-36-54_d7f62f5971.fit,2014-12-23 10:36:54,running,11.998280000000001,56.38245,177.0,213.0,True,False
fits/2014-12-24_09-12-29_bb970d86bc.fit,2014-12-24 09:12:29,running,6.17902,30.006083333333333,159.0,165.0,True,False
fits/2014-12-25_08-51-29_4b259ee8cd.fit,2014-12-25 08:51:29,running,0.99998,5.289266666666666,38.0,70.0,True,False
fits/2014-12-25_09-05-10_ce900c5ac0.fit,2014-12-25 09:05:10,running,4.82316,20.015866666666668,82.0,94.0,True,False
fits/2014-12-27_12-36-30_62feb82d0f.fit,2014-12-27 12:36:30,running,16.16091,72.32126666666666,54.0,54.0,True,False
fits/2014-12-30_10-33-44_2142e666bd.fit,2014-12-30 10:33:44,running,10.24021,48.56935,39.0,41.0,True,False
fits/2015-01-01_09-32-13_42b0bdb204.fit,2015-01-01 09:32:13,running,15.56042,70.00691666666667,45.0,46.0,True,False
fits/2015-01-03_08-50-25_2814ef230a.fit,2015-01-03 08:50:25,running,1.8331099999999998,8.857883333333332,8.0,23.0,True,False
fits/2015-01-03_09-01-39_973b366147.fit,2015-01-03 09:01:39,running,4.77052,19.75248333333333,47.0,44.0,True,False
fits/2015-01-04_09-03-44_53c7b51bba.fit,2015-01-04 09:03:44,running,0.99971,5.235433333333333,1.0,4.0,True,False
fits/2015-01-04_09-16-59_04283a1fc1.fit,2015-01-04 09:16:59,running,9.99835,41.2478,60.0,60.0,True,False
fits/2015-01-06_16-05-24_056c9dc22e.fit,2015-01-06 16:05:24,running,8.3366,44.558616666666666,25.0,34.0,True,False
fits/2015-01-10_09-40-42_fed684613a.fit,2015-01-10 09:40:42,running,25.00187,118.86198333333333,101.0,131.0,True,False
